"date","timestamp","sewer_and_water","power","roads_and_bridges","medical","buildings","shake_intensity","location"
2020-04-10,"12:20:00",3,0,2,1,3,NA,9
2020-04-10,"04:15:00",9,6,7,10,0,NA,9
2020-04-07,"13:30:00",3,1,7,8,10,NA,9
2020-04-10,"23:10:00",0,1,1,1,4,NA,9
2020-04-07,"20:35:00",4,2,2,10,3,NA,9
2020-04-10,"08:20:00",3,0,1,3,3,NA,9
2020-04-08,"02:50:00",5,6,2,10,8,0,9
2020-04-09,"20:10:00",3,10,0,5,8,NA,9
2020-04-10,"23:35:00",2,0,9,4,8,NA,9
2020-04-10,"22:00:00",2,6,7,10,7,NA,9
2020-04-10,"14:15:00",3,7,2,10,0,NA,9
2020-04-06,"07:20:00",3,10,4,10,10,0,9
2020-04-06,"22:35:00",4,0,10,5,8,NA,9
2020-04-10,"13:40:00",0,1,6,6,7,NA,9
2020-04-06,"07:30:00",2,8,7,8,4,0,9
2020-04-07,"06:55:00",1,9,4,0,7,NA,9
2020-04-06,"18:25:00",0,10,10,8,2,NA,9
2020-04-10,"19:05:00",3,9,6,6,9,0,9
2020-04-10,"01:10:00",10,7,1,7,8,NA,9
2020-04-07,"03:35:00",10,10,10,2,7,NA,9
2020-04-06,"23:40:00",4,8,1,10,10,NA,9
2020-04-10,"20:55:00",6,3,10,5,0,NA,9
2020-04-06,"01:55:00",10,7,8,3,10,NA,9
2020-04-08,"23:45:00",1,6,4,4,8,NA,9
2020-04-07,"05:35:00",10,8,5,10,0,NA,9
2020-04-08,"23:45:00",8,6,10,10,2,0,9
2020-04-09,"12:50:00",5,10,3,10,5,NA,9
2020-04-07,"14:45:00",5,10,5,6,5,NA,9
2020-04-06,"09:50:00",10,1,9,1,3,NA,9
2020-04-09,"07:25:00",10,2,10,10,0,NA,9
2020-04-07,"13:05:00",3,10,2,3,0,NA,9
2020-04-09,"21:40:00",5,3,10,6,8,1,9
2020-04-09,"02:25:00",2,10,6,0,5,0,9
2020-04-06,"07:00:00",7,0,9,1,4,NA,9
2020-04-10,"09:05:00",2,6,6,7,2,NA,9
2020-04-10,"03:30:00",4,0,5,5,10,NA,9
2020-04-08,"09:30:00",9,8,8,4,2,NA,9
2020-04-09,"16:20:00",1,0,2,7,1,1,9
2020-04-09,"12:40:00",9,0,0,5,6,NA,9
2020-04-09,"08:55:00",4,8,7,1,5,1,9
2020-04-10,"15:10:00",8,0,4,10,7,NA,9
2020-04-06,"14:45:00",3,6,8,9,10,1,9
2020-04-09,"11:05:00",4,1,10,5,4,NA,9
2020-04-07,"08:50:00",6,3,8,2,10,1,9
2020-04-06,"16:50:00",9,0,0,8,7,NA,9
2020-04-08,"01:25:00",10,3,7,7,2,NA,9
2020-04-06,"14:10:00",2,1,2,4,1,NA,9
2020-04-08,"11:35:00",3,10,1,5,8,NA,9
2020-04-08,"03:40:00",2,6,2,9,4,1,9
2020-04-10,"02:25:00",9,10,7,9,9,NA,9
2020-04-08,"08:05:00",10,5,2,2,3,NA,9
2020-04-10,"01:05:00",5,1,8,10,6,NA,9
2020-04-06,"19:25:00",1,0,9,2,6,NA,9
2020-04-06,"05:45:00",7,10,7,1,10,NA,9
2020-04-09,"15:05:00",0,1,0,4,7,NA,9
2020-04-08,"02:30:00",2,7,7,7,10,NA,9
2020-04-09,"13:35:00",6,4,4,1,5,0,9
2020-04-10,"17:50:00",2,3,8,10,8,NA,9
2020-04-09,"16:35:00",2,0,3,9,4,NA,9
2020-04-09,"07:05:00",6,9,10,3,10,NA,9
2020-04-08,"11:25:00",10,7,6,10,7,NA,9
2020-04-06,"14:35:00",7,0,1,8,6,NA,9
2020-04-06,"09:30:00",9,3,3,4,2,1,9
2020-04-06,"05:40:00",9,7,10,10,9,NA,9
2020-04-07,"14:15:00",4,9,2,5,7,NA,9
2020-04-07,"18:15:00",1,5,3,5,6,0,9
2020-04-08,"03:00:00",7,8,5,10,3,NA,9
2020-04-09,"20:20:00",5,7,2,5,10,NA,9
2020-04-08,"23:45:00",2,0,3,5,6,NA,9
2020-04-06,"16:25:00",1,5,7,1,9,NA,9
2020-04-06,"14:20:00",7,3,10,7,10,NA,9
2020-04-09,"05:40:00",6,4,6,4,1,1,9
2020-04-06,"01:50:00",4,1,6,7,10,NA,9
2020-04-09,"16:20:00",7,3,0,1,2,NA,9
2020-04-07,"20:45:00",1,1,10,0,1,NA,9
2020-04-10,"23:55:00",9,3,6,10,3,NA,9
2020-04-08,"23:45:00",1,10,2,10,10,NA,9
2020-04-10,"07:50:00",5,10,2,0,8,NA,9
2020-04-10,"00:00:00",10,9,10,6,7,NA,9
2020-04-07,"19:25:00",2,8,7,0,5,0,9
2020-04-09,"15:10:00",6,1,0,9,5,NA,9
2020-04-10,"16:35:00",5,9,10,3,10,NA,9
2020-04-07,"10:35:00",2,4,7,3,4,NA,9
2020-04-07,"07:00:00",10,10,8,0,0,NA,9
2020-04-06,"23:20:00",3,2,1,10,0,0,9
2020-04-10,"11:45:00",8,2,8,6,10,NA,9
2020-04-06,"16:15:00",7,10,7,9,4,NA,9
2020-04-08,"00:35:00",2,8,4,10,10,0,9
2020-04-08,"07:00:00",10,3,7,6,9,NA,9
2020-04-08,"11:20:00",2,4,1,10,5,NA,9
2020-04-10,"11:35:00",7,10,0,4,5,NA,9
2020-04-07,"11:10:00",2,5,4,0,5,0,9
2020-04-10,"05:25:00",7,7,3,8,1,NA,9
2020-04-08,"23:45:00",4,8,0,8,10,NA,9
2020-04-10,"09:20:00",0,10,2,5,7,1,9
2020-04-07,"16:40:00",9,8,10,6,5,0,9
2020-04-07,"03:50:00",4,5,2,3,10,NA,9
2020-04-07,"06:20:00",6,4,6,6,4,NA,9
2020-04-06,"23:05:00",0,10,10,8,8,NA,9
2020-04-06,"04:20:00",10,9,8,10,1,0,9
2020-04-07,"05:45:00",9,0,5,8,7,NA,9
2020-04-09,"03:40:00",10,7,7,9,5,NA,9
2020-04-08,"23:45:00",1,10,8,6,10,NA,9
2020-04-06,"09:35:00",7,6,4,6,3,NA,9
2020-04-08,"03:35:00",6,0,8,9,8,NA,9
2020-04-10,"14:20:00",4,7,0,2,2,NA,9
2020-04-07,"00:05:00",4,2,9,2,9,NA,9
2020-04-06,"17:45:00",7,4,4,10,6,NA,9
2020-04-06,"16:15:00",2,7,2,7,1,NA,9
2020-04-10,"04:15:00",6,2,2,2,10,NA,9
2020-04-08,"11:25:00",3,2,8,10,10,NA,9
2020-04-07,"04:10:00",10,5,2,10,10,NA,9
2020-04-10,"04:45:00",4,5,10,5,1,NA,9
2020-04-09,"05:35:00",8,5,9,9,4,1,9
2020-04-10,"20:10:00",1,2,0,2,0,NA,9
2020-04-07,"17:35:00",0,0,9,7,3,NA,9
2020-04-07,"21:30:00",4,8,4,3,9,NA,9
2020-04-06,"02:20:00",10,10,0,2,10,NA,9
2020-04-06,"17:15:00",8,6,8,1,1,NA,9
2020-04-06,"04:30:00",10,8,10,2,1,NA,9
2020-04-07,"10:20:00",8,5,0,10,10,0,9
2020-04-06,"13:10:00",4,10,3,7,4,NA,9
2020-04-07,"14:30:00",5,10,8,7,6,NA,9
2020-04-08,"09:20:00",6,8,10,2,1,NA,9
2020-04-06,"16:35:00",2,6,4,8,7,NA,9
2020-04-08,"03:10:00",3,0,3,6,7,NA,9
2020-04-09,"06:20:00",10,1,3,2,5,NA,9
2020-04-10,"01:40:00",6,1,5,6,3,NA,9
2020-04-06,"20:05:00",7,3,7,7,7,1,9
2020-04-09,"23:40:00",5,7,7,4,8,NA,9
2020-04-09,"10:25:00",10,5,10,7,10,NA,9
2020-04-10,"14:35:00",10,0,1,5,1,NA,9
2020-04-06,"17:05:00",2,7,6,7,7,NA,9
2020-04-07,"07:00:00",10,10,9,10,1,NA,9
2020-04-07,"09:45:00",10,8,3,2,8,NA,9
2020-04-06,"04:55:00",5,7,4,10,3,NA,9
2020-04-06,"07:10:00",10,4,10,4,8,NA,9
2020-04-10,"04:45:00",9,5,2,3,2,NA,9
2020-04-09,"13:05:00",7,10,10,10,5,1,9
2020-04-10,"17:00:00",0,5,9,7,1,NA,9
2020-04-07,"08:50:00",10,5,0,10,4,1,9
2020-04-10,"18:15:00",4,6,0,5,10,NA,9
2020-04-06,"08:55:00",0,10,2,10,4,NA,9
2020-04-10,"03:00:00",10,10,7,3,3,NA,9
2020-04-09,"21:45:00",1,8,7,7,8,NA,9
2020-04-08,"03:10:00",0,7,3,9,5,NA,9
2020-04-10,"19:05:00",4,2,0,10,5,NA,9
2020-04-08,"04:00:00",2,3,1,3,5,NA,9
2020-04-09,"18:45:00",10,2,4,10,2,NA,9
2020-04-09,"21:55:00",0,8,7,9,10,NA,9
2020-04-07,"02:25:00",10,9,6,10,0,NA,9
2020-04-08,"10:30:00",5,10,1,7,7,NA,9
2020-04-10,"22:25:00",10,1,2,3,1,NA,9
2020-04-06,"16:10:00",0,1,4,4,8,NA,9
2020-04-07,"18:20:00",0,2,7,2,5,NA,9
2020-04-07,"13:25:00",9,10,3,3,0,NA,9
2020-04-06,"08:25:00",8,2,5,4,4,NA,9
2020-04-07,"00:50:00",2,1,6,0,9,NA,9
2020-04-09,"18:45:00",8,9,9,0,4,NA,9
2020-04-08,"05:05:00",0,6,8,10,1,NA,9
2020-04-10,"14:30:00",8,10,4,9,8,NA,9
2020-04-06,"01:25:00",6,2,7,3,8,NA,9
2020-04-08,"23:45:00",10,2,5,9,1,NA,9
2020-04-09,"10:30:00",5,8,5,5,10,NA,9
2020-04-09,"17:15:00",4,2,10,4,9,1,9
2020-04-07,"05:05:00",3,8,9,2,10,NA,9
2020-04-07,"10:35:00",2,9,10,5,8,NA,9
2020-04-09,"19:40:00",5,3,8,0,9,NA,9
2020-04-08,"06:50:00",0,2,7,10,10,NA,9
2020-04-10,"17:15:00",5,5,3,7,7,NA,9
2020-04-10,"20:50:00",9,2,1,5,10,NA,9
2020-04-08,"23:45:00",8,5,10,8,0,NA,9
2020-04-06,"09:30:00",5,2,5,10,9,NA,9
2020-04-09,"12:55:00",1,10,9,5,7,NA,9
2020-04-07,"12:05:00",6,6,9,3,6,NA,9
2020-04-07,"03:25:00",0,10,10,7,2,NA,9
2020-04-10,"07:10:00",10,0,1,7,10,NA,9
2020-04-06,"21:30:00",0,0,3,9,4,NA,9
2020-04-06,"05:55:00",9,9,4,2,6,NA,9
2020-04-09,"00:35:00",4,0,6,7,8,NA,9
2020-04-06,"17:15:00",6,7,1,6,7,NA,9
2020-04-06,"06:55:00",0,1,10,1,7,NA,9
2020-04-06,"01:20:00",0,7,2,2,4,NA,9
2020-04-08,"09:25:00",9,10,8,4,8,NA,9
2020-04-07,"08:55:00",7,4,0,0,9,NA,9
2020-04-09,"17:40:00",10,8,9,2,10,NA,9
2020-04-06,"11:15:00",10,6,8,9,4,NA,9
2020-04-09,"12:30:00",10,6,6,8,8,NA,9
2020-04-07,"15:40:00",4,7,8,9,2,NA,9
2020-04-07,"18:50:00",2,10,10,2,9,NA,9
2020-04-06,"09:20:00",8,10,4,10,0,NA,9
2020-04-07,"21:50:00",1,0,8,1,10,NA,9
2020-04-09,"05:55:00",7,5,10,10,10,NA,9
2020-04-06,"23:50:00",4,3,9,6,8,NA,9
2020-04-09,"08:00:00",6,1,1,1,5,0,9
2020-04-09,"04:20:00",9,1,10,10,10,0,9
2020-04-06,"20:30:00",1,9,6,5,3,NA,9
2020-04-07,"14:00:00",9,3,6,4,8,NA,9
2020-04-09,"08:10:00",4,7,4,0,10,0,9
2020-04-07,"08:40:00",3,6,2,10,3,NA,9
2020-04-10,"21:35:00",2,3,10,8,9,NA,9
2020-04-09,"13:35:00",5,3,8,4,5,NA,9
2020-04-06,"02:50:00",5,8,9,8,10,NA,9
2020-04-06,"13:45:00",3,0,10,7,2,NA,9
2020-04-09,"05:55:00",5,7,10,6,8,NA,9
2020-04-07,"07:20:00",5,10,6,10,6,NA,9
2020-04-06,"01:15:00",8,9,1,3,1,NA,9
2020-04-07,"00:45:00",4,10,5,7,10,NA,9
2020-04-06,"21:50:00",0,9,3,5,3,1,9
2020-04-09,"19:25:00",1,10,2,6,0,NA,9
2020-04-06,"06:40:00",3,9,7,10,0,NA,9
2020-04-06,"07:10:00",3,6,1,10,4,NA,9
2020-04-10,"14:40:00",8,4,1,10,0,NA,9
2020-04-06,"22:45:00",9,5,3,8,5,NA,9
2020-04-10,"18:30:00",7,4,8,6,7,NA,9
2020-04-08,"09:25:00",3,9,4,3,10,NA,9
2020-04-07,"16:45:00",8,2,1,7,9,0,9
2020-04-10,"13:15:00",6,8,2,7,8,1,9
2020-04-06,"07:35:00",6,0,5,1,5,NA,9
2020-04-09,"01:15:00",6,4,5,7,4,NA,9
2020-04-09,"21:20:00",5,10,3,6,7,NA,9
2020-04-07,"23:10:00",3,4,10,7,3,NA,9
2020-04-08,"23:45:00",3,7,4,10,8,NA,9
2020-04-10,"23:05:00",8,8,6,10,0,NA,9
2020-04-10,"06:40:00",10,3,3,10,10,0,9
2020-04-10,"15:25:00",7,7,6,5,7,NA,9
2020-04-10,"13:05:00",9,8,7,10,5,NA,9
2020-04-08,"04:05:00",10,4,10,6,9,NA,9
2020-04-10,"00:40:00",4,7,3,0,4,NA,9
2020-04-10,"19:50:00",10,0,8,10,10,NA,9
2020-04-10,"15:35:00",2,5,0,3,7,NA,9
2020-04-06,"01:05:00",7,9,10,0,1,NA,9
2020-04-07,"09:35:00",6,5,10,3,7,NA,9
2020-04-09,"02:00:00",3,9,7,0,2,NA,9
2020-04-07,"19:20:00",0,6,1,7,1,NA,9
2020-04-07,"11:00:00",0,2,9,10,1,NA,9
2020-04-10,"11:40:00",9,7,10,1,9,NA,9
2020-04-06,"05:25:00",9,6,1,1,7,NA,9
2020-04-07,"17:55:00",7,3,2,3,10,NA,9
2020-04-07,"14:55:00",9,6,1,8,8,NA,9
2020-04-07,"11:55:00",10,0,7,8,2,NA,9
2020-04-08,"07:55:00",10,10,7,5,0,NA,9
2020-04-08,"09:45:00",2,8,7,6,10,NA,9
2020-04-09,"07:30:00",9,10,3,2,7,NA,9
2020-04-09,"07:50:00",3,3,10,2,8,NA,9
2020-04-07,"07:20:00",2,1,3,8,0,NA,9
2020-04-08,"07:45:00",10,1,9,4,7,NA,9
2020-04-06,"17:50:00",1,5,4,5,4,NA,9
2020-04-08,"04:00:00",5,0,0,7,8,0,9
2020-04-09,"10:25:00",5,5,6,10,3,NA,9
2020-04-09,"12:45:00",3,10,10,7,1,NA,9
2020-04-10,"11:00:00",5,7,6,3,0,NA,9
2020-04-06,"04:55:00",10,3,3,7,8,NA,9
2020-04-08,"04:00:00",8,10,7,10,6,NA,9
2020-04-10,"22:10:00",0,5,1,3,10,NA,9
2020-04-08,"10:50:00",6,7,10,10,6,NA,9
2020-04-08,"23:45:00",5,8,6,3,8,0,9
2020-04-08,"05:55:00",1,1,6,7,5,NA,9
2020-04-06,"10:30:00",8,4,5,1,2,NA,9
2020-04-07,"13:55:00",2,5,9,10,1,NA,9
2020-04-09,"07:45:00",2,4,7,6,7,NA,9
2020-04-09,"00:00:00",10,6,4,6,10,NA,9
2020-04-08,"23:45:00",7,0,9,4,9,NA,9
2020-04-10,"22:15:00",8,10,10,0,1,NA,9
2020-04-09,"23:55:00",9,10,9,4,8,NA,9
2020-04-10,"22:05:00",8,0,6,0,6,0,9
2020-04-07,"06:10:00",2,10,0,6,7,NA,9
2020-04-09,"05:15:00",3,2,6,5,7,0,9
2020-04-06,"14:55:00",4,5,3,0,0,NA,9
2020-04-09,"15:40:00",0,3,1,5,5,1,9
2020-04-09,"15:50:00",8,1,5,9,7,NA,9
2020-04-09,"01:55:00",5,6,6,9,0,NA,9
2020-04-09,"18:55:00",1,10,2,8,3,0,9
2020-04-09,"23:40:00",8,10,5,9,5,NA,9
2020-04-06,"10:40:00",8,4,7,2,7,NA,9
2020-04-08,"23:45:00",10,0,4,2,8,NA,9
2020-04-07,"20:00:00",2,7,10,5,10,0,9
2020-04-06,"09:35:00",0,9,1,6,5,NA,9
2020-04-09,"04:15:00",10,0,1,4,7,NA,9
2020-04-07,"18:35:00",7,8,3,7,6,NA,9
2020-04-08,"07:15:00",8,2,1,3,6,NA,9
2020-04-09,"04:10:00",6,1,6,2,3,NA,9
2020-04-07,"17:50:00",3,7,5,9,10,NA,9
2020-04-06,"23:10:00",0,10,4,4,4,NA,9
2020-04-10,"07:00:00",10,4,10,5,7,NA,9
2020-04-06,"22:10:00",10,8,7,9,6,1,9
2020-04-09,"15:50:00",8,4,1,9,5,NA,9
2020-04-07,"10:05:00",7,0,0,7,10,NA,9
2020-04-06,"20:45:00",5,10,7,1,0,NA,9
2020-04-07,"05:30:00",0,0,5,3,3,NA,9
2020-04-07,"14:15:00",7,0,1,0,8,NA,9
2020-04-07,"21:45:00",2,1,2,10,1,1,9
2020-04-06,"19:15:00",5,1,7,8,2,NA,9
2020-04-10,"07:50:00",1,10,10,6,0,NA,9
2020-04-09,"06:00:00",0,0,5,3,10,NA,9
2020-04-08,"23:45:00",8,4,1,3,5,NA,9
2020-04-06,"12:30:00",10,2,2,10,1,NA,9
2020-04-07,"06:25:00",1,1,5,1,8,NA,9
2020-04-10,"12:45:00",3,10,10,2,4,1,9
2020-04-06,"09:05:00",4,5,8,7,5,NA,9
2020-04-06,"05:45:00",7,6,4,2,10,NA,9
2020-04-10,"07:45:00",2,10,7,5,10,NA,9
2020-04-08,"10:10:00",10,8,7,3,5,NA,9
2020-04-07,"15:35:00",10,10,2,5,5,NA,9
2020-04-10,"17:45:00",6,4,3,10,5,NA,9
2020-04-09,"16:40:00",10,0,0,6,2,NA,9
2020-04-07,"15:30:00",5,9,10,6,5,NA,9
2020-04-07,"15:45:00",8,10,2,10,10,NA,9
2020-04-10,"08:20:00",6,6,1,6,0,NA,9
2020-04-10,"11:45:00",5,5,6,3,10,NA,9
2020-04-09,"04:25:00",1,10,2,9,4,NA,9
2020-04-09,"14:30:00",5,1,10,9,10,0,9
2020-04-09,"11:25:00",0,10,4,5,9,NA,9
2020-04-09,"03:40:00",6,8,8,3,10,NA,9
2020-04-07,"10:25:00",10,8,10,8,2,NA,9
2020-04-10,"23:50:00",2,6,4,3,0,NA,9
2020-04-10,"17:05:00",1,3,6,4,5,NA,9
2020-04-09,"10:10:00",10,4,2,2,6,NA,9
2020-04-09,"10:00:00",5,10,9,3,5,1,9
2020-04-10,"19:55:00",2,5,9,9,10,NA,9
2020-04-08,"00:45:00",6,5,5,2,3,0,9
2020-04-07,"16:15:00",1,5,10,4,9,NA,9
2020-04-10,"17:20:00",9,10,4,10,0,NA,9
2020-04-08,"23:45:00",8,2,2,1,7,NA,9
2020-04-10,"03:00:00",10,5,2,7,10,0,9
2020-04-07,"23:15:00",4,6,10,3,0,0,9
2020-04-07,"03:45:00",7,7,5,1,7,NA,9
2020-04-07,"16:10:00",1,0,3,10,0,0,9
2020-04-10,"12:55:00",6,8,7,10,10,NA,9
2020-04-08,"07:20:00",3,7,9,1,9,NA,9
2020-04-06,"13:45:00",10,5,3,2,6,NA,9
2020-04-07,"04:05:00",7,8,6,7,4,NA,9
2020-04-09,"00:40:00",8,8,2,6,10,NA,9
2020-04-06,"02:30:00",10,1,4,3,8,NA,9
2020-04-07,"01:05:00",4,3,5,3,3,NA,9
2020-04-06,"18:35:00",1,0,8,5,0,NA,9
2020-04-10,"16:30:00",0,2,1,10,7,0,9
2020-04-06,"01:00:00",10,4,4,1,1,NA,9
2020-04-06,"21:05:00",9,7,6,2,2,NA,9
2020-04-09,"20:20:00",8,6,4,4,6,1,9
2020-04-08,"12:00:00",6,0,8,10,8,0,9
2020-04-10,"20:55:00",7,2,3,9,2,NA,9
2020-04-08,"23:45:00",7,8,5,6,5,NA,9
2020-04-08,"23:45:00",2,3,0,2,3,NA,9
2020-04-08,"23:45:00",8,4,2,0,10,NA,9
2020-04-09,"10:35:00",3,3,7,1,6,1,9
2020-04-09,"22:55:00",8,10,3,3,9,NA,9
2020-04-07,"20:55:00",7,10,10,2,6,1,9
2020-04-09,"04:55:00",7,9,0,0,3,1,9
2020-04-07,"11:00:00",4,9,7,5,8,NA,9
2020-04-09,"16:15:00",8,3,9,7,10,NA,9
2020-04-07,"00:30:00",10,9,10,5,10,NA,9
2020-04-08,"08:55:00",10,6,7,10,0,NA,9
2020-04-10,"21:45:00",3,5,8,8,2,NA,9
2020-04-06,"17:30:00",7,6,9,8,5,NA,9
2020-04-09,"05:55:00",3,8,9,0,6,NA,9
2020-04-09,"17:55:00",10,0,0,4,3,0,9
2020-04-09,"07:40:00",5,0,8,8,6,NA,9
2020-04-10,"07:25:00",8,4,0,5,1,0,9
2020-04-08,"07:55:00",6,10,9,5,2,NA,9
2020-04-09,"04:05:00",5,6,1,5,8,NA,9
2020-04-08,"23:45:00",0,2,4,0,5,NA,9
2020-04-09,"11:30:00",9,0,7,2,2,0,9
2020-04-08,"04:00:00",2,6,0,6,3,1,9
2020-04-09,"12:50:00",10,6,8,4,2,NA,9
2020-04-06,"18:55:00",9,10,2,10,6,NA,9
2020-04-06,"09:45:00",10,10,1,4,6,NA,9
2020-04-07,"20:55:00",3,1,0,1,8,NA,9
2020-04-09,"23:40:00",4,7,7,10,5,NA,9
2020-04-06,"21:10:00",4,6,1,1,7,NA,9
2020-04-10,"01:15:00",0,1,5,7,10,0,9
2020-04-10,"21:40:00",4,8,8,6,1,NA,9
2020-04-07,"08:55:00",10,5,7,6,0,NA,9
2020-04-07,"21:40:00",8,4,6,8,2,NA,9
2020-04-10,"18:25:00",0,6,2,0,8,NA,9
2020-04-07,"03:40:00",10,2,5,3,6,NA,9
2020-04-09,"00:40:00",10,2,5,1,9,NA,9
2020-04-09,"03:35:00",0,2,9,4,1,NA,9
2020-04-07,"04:50:00",3,0,1,8,7,1,9
2020-04-07,"14:15:00",10,0,0,10,1,NA,9
2020-04-06,"22:05:00",3,7,10,2,2,NA,9
2020-04-09,"19:55:00",10,8,2,10,8,NA,9
2020-04-09,"07:30:00",5,10,5,5,8,1,9
2020-04-10,"13:20:00",3,8,10,7,1,NA,9
2020-04-08,"05:45:00",6,7,8,0,8,NA,9
2020-04-07,"03:30:00",8,10,9,7,6,NA,9
2020-04-10,"21:40:00",6,5,4,9,0,NA,9
2020-04-09,"06:25:00",4,10,7,5,7,NA,9
2020-04-09,"01:45:00",10,8,10,1,3,NA,9
2020-04-06,"12:05:00",7,4,6,7,9,NA,9
2020-04-08,"01:00:00",1,10,10,10,6,NA,9
2020-04-06,"02:40:00",10,10,5,1,8,NA,9
2020-04-09,"13:30:00",1,2,7,8,8,1,9
2020-04-10,"11:05:00",9,9,4,5,10,NA,9
2020-04-07,"23:10:00",0,9,7,5,2,NA,9
2020-04-10,"17:15:00",1,10,7,3,9,NA,9
2020-04-08,"23:45:00",9,7,5,2,1,NA,9
2020-04-07,"16:05:00",6,7,3,10,10,0,9
2020-04-07,"10:45:00",7,6,1,7,6,NA,9
2020-04-06,"03:35:00",9,1,0,8,9,NA,9
2020-04-10,"00:10:00",1,7,1,0,3,NA,9
2020-04-10,"18:00:00",0,4,5,6,1,NA,9
2020-04-10,"21:15:00",10,8,1,1,0,NA,9
2020-04-08,"23:45:00",5,10,8,0,3,1,9
2020-04-09,"12:40:00",9,5,4,1,7,NA,9
2020-04-06,"08:05:00",5,10,3,10,3,NA,9
2020-04-10,"23:05:00",2,7,10,0,7,1,9
2020-04-10,"00:45:00",6,5,8,3,2,0,9
2020-04-06,"04:30:00",6,4,4,3,10,0,9
2020-04-06,"12:20:00",2,7,2,2,7,NA,9
2020-04-06,"17:35:00",10,1,5,8,10,NA,9
2020-04-08,"08:10:00",6,8,0,9,9,NA,9
2020-04-10,"08:45:00",6,0,3,7,5,NA,9
2020-04-07,"20:40:00",1,10,7,4,5,NA,9
2020-04-10,"06:05:00",7,0,4,4,10,NA,9
2020-04-06,"18:55:00",6,1,3,0,7,NA,9
2020-04-06,"11:45:00",1,8,6,0,3,NA,9
2020-04-10,"19:00:00",1,1,9,9,4,NA,9
2020-04-09,"06:20:00",6,7,10,10,3,NA,9
2020-04-07,"01:45:00",0,2,7,8,8,NA,9
2020-04-08,"10:05:00",10,8,10,8,6,NA,9
2020-04-06,"06:25:00",6,0,10,0,10,NA,9
2020-04-08,"07:55:00",4,1,10,5,3,NA,9
2020-04-10,"07:15:00",9,2,8,6,9,0,9
2020-04-10,"17:05:00",7,6,9,1,2,NA,9
2020-04-09,"16:10:00",4,2,2,4,5,NA,9
2020-04-08,"07:20:00",9,7,6,9,5,0,9
2020-04-07,"11:20:00",10,5,3,1,8,NA,9
2020-04-06,"13:20:00",10,6,8,1,4,NA,9
2020-04-07,"12:50:00",10,9,1,4,0,NA,9
2020-04-07,"18:45:00",2,4,5,6,5,NA,9
2020-04-06,"17:00:00",9,9,1,10,1,NA,9
2020-04-07,"20:45:00",5,7,9,7,8,NA,9
2020-04-06,"17:10:00",10,2,1,10,10,NA,9
2020-04-09,"04:35:00",3,10,2,10,3,NA,9
2020-04-06,"08:40:00",4,0,5,0,1,NA,9
2020-04-10,"22:55:00",8,1,6,10,2,NA,9
2020-04-06,"11:25:00",3,1,7,10,10,NA,9
2020-04-10,"05:30:00",3,4,0,4,10,NA,9
2020-04-07,"05:15:00",7,4,2,1,8,NA,9
2020-04-07,"00:25:00",2,2,2,7,10,NA,9
2020-04-08,"05:35:00",5,2,4,1,0,NA,9
2020-04-07,"13:25:00",6,6,2,0,6,NA,9
2020-04-10,"17:40:00",5,5,10,1,10,NA,9
2020-04-08,"23:45:00",6,10,7,1,5,NA,9
2020-04-07,"13:05:00",3,2,3,6,3,NA,9
2020-04-06,"09:05:00",0,9,2,7,6,1,9
2020-04-08,"01:30:00",8,10,3,5,0,NA,9
2020-04-10,"22:00:00",0,10,7,5,7,NA,9
2020-04-10,"18:15:00",0,6,7,7,5,NA,9
2020-04-10,"06:50:00",7,0,8,10,10,1,9
2020-04-09,"21:20:00",5,7,7,4,3,NA,9
2020-04-06,"21:35:00",3,3,2,9,10,1,9
2020-04-09,"18:35:00",7,4,9,10,4,NA,9
2020-04-10,"03:30:00",1,2,10,2,6,NA,9
2020-04-07,"04:20:00",10,0,0,10,4,NA,9
2020-04-10,"08:40:00",6,6,4,1,4,NA,9
2020-04-06,"14:20:00",0,7,4,1,5,NA,9
2020-04-06,"14:10:00",2,5,10,3,10,0,9
2020-04-09,"05:55:00",9,10,9,3,6,NA,9
2020-04-07,"08:50:00",6,6,3,2,0,NA,9
2020-04-08,"00:50:00",5,6,8,7,2,1,9
2020-04-06,"18:15:00",5,0,2,7,2,1,9
2020-04-09,"19:45:00",9,10,6,4,0,NA,9
2020-04-10,"17:20:00",4,0,0,6,3,NA,9
2020-04-06,"16:55:00",2,7,2,9,6,NA,9
2020-04-09,"04:25:00",6,2,10,10,4,NA,9
2020-04-09,"11:50:00",8,4,8,4,0,NA,9
2020-04-08,"05:20:00",2,3,0,8,10,1,9
2020-04-08,"11:20:00",6,10,9,10,4,NA,9
2020-04-09,"18:40:00",9,0,10,8,1,NA,9
2020-04-10,"10:20:00",1,2,7,9,7,NA,9
2020-04-06,"18:35:00",2,1,1,6,5,NA,9
2020-04-07,"13:50:00",6,0,10,6,6,NA,9
2020-04-10,"00:55:00",7,7,3,0,10,NA,9
2020-04-08,"03:05:00",10,3,8,4,2,NA,9
2020-04-08,"23:45:00",5,9,2,3,5,NA,9
2020-04-10,"06:30:00",3,6,10,9,1,NA,9
2020-04-09,"12:15:00",10,3,7,3,6,NA,9
2020-04-08,"00:25:00",7,8,9,7,5,NA,9
2020-04-09,"02:00:00",10,4,7,8,2,NA,9
2020-04-06,"10:05:00",0,0,10,9,2,NA,9
2020-04-09,"14:10:00",6,8,9,8,9,NA,9
2020-04-07,"04:55:00",0,0,8,5,10,NA,9
